,Unidad,Número de conversación,Clave,País,Ciudad,Sexo,Edad,Educación,Número de turno,ID del hablante,Turno previo,Turno,Turno siguiente,Posición de la unidad,Grupo de edad,No. de coincidencia en el turno,Total de coincidencias en el turno
10,¿sí?,4,GUAD_H21_060,México,Guadalajara,mujer,29,alto,217,E,"I: <silencio/> pues me tiraron un balazo // bueno una carga / toda una carga / que<alargamiento/> a tres casas de aquí 
","E: ¿sí?
","I: <tiempo = ""14:00""/> me aventa <palabra_cortada/> fue una carga / y nomás me pegaron dos // 
",0,1,1.0,1.0
11,¿sí?,4,GUAD_H21_060,México,Guadalajara,mujer,29,alto,306,E,"I: no // no porque sí tengo mucho dinero / bah <risas = ""I y E""/> / no / no me gusta
","E: ¿sí?
","I: de repente me pongo aquí y están jugando pero no / no me llama la atención
",0,1,1.0,1.0
12,¿sí?,4,GUAD_H21_060,México,Guadalajara,mujer,29,alto,344,E,"I: sí / no sí sí sí pero no // para na<alargamiento/>da / a los compañeros de ahí que han andado conmigo sí / sí les ha pasado / pero a mí gracias a Dios // <simultáneo> nunca pasó </simultáneo>
","E: <simultáneo> ¿sí? ¿como </simultáneo> qué cosas les han pasado? 
","I: pues uno de ellos se cayó de<alargamiento/> // ¿serán<alargamiento/>? / cuatro andamios 
",1,1,1.0,1.0
13,¿sí?,4,GUAD_H21_060,México,Guadalajara,mujer,29,alto,378,E,"I: <simultáneo> pues </simultáneo> enjarrar 
","E: ¿sí?
","I: es enjarrar / pegar muro / todo lo que es / la <sic> albañilada </sic> me / me gusta // todo lo que es la <sic> albañilada </sic>  me gusta
",0,1,1.0,1.0
14,¿sí?,4,GUAD_H21_060,México,Guadalajara,mujer,29,alto,428,E,"I: de hecho / me siento que<alargamiento/> / que mi jefe está / aquí conmigo
","E: ¿sí?
","I: // yo lo siento a cada rato // cada vez 
",0,1,1.0,1.0
15,¿sí?,6,GUAD_H23_004,México,Guadalajara,mujer,20,alto,5,E,"I: no no hay problema / el respeto no tiene que ver con el tú o el usted / <simultáneo> no pasa nada </simultáneo> 
","E: <simultáneo> ¿sí? </simultáneo> ¿no considera que tenga que ver el respeto con eso?
","I: no // el respeto se lo da cada quien / independientemente de <alargamiento/> con quien esté / <simultáneo> no pasa nada </simultáneo> 
",1,1,1.0,1.0
16,¿sí?,6,GUAD_H23_004,México,Guadalajara,mujer,20,alto,9,E,"I: <énfasis> yo mu<alargamiento/>y </énfasis> contento <risas = ""E""/> de maravilla de hecho 
","E: ¿sí?
","I: <simultáneo> sí </simultáneo> 
",0,1,1.0,1.0
17,¿sí?,6,GUAD_H23_004,México,Guadalajara,mujer,20,alto,94,E,"I: sí<alargamiento/> <risas = ""E""/> son muy buenos <énfasis> ambos </énfasis> / son muy <simultáneo> buenos </simultáneo> 
","E: <simultáneo> ¿sí? </simultáneo> 
","I: para<alargamiento/> para jugar / pero pues están en una edad en que están tienen que probar de <simultáneo> diferentes </simultáneo> / 
",0,1,1.0,1.0
18,¿sí?,6,GUAD_H23_004,México,Guadalajara,mujer,20,alto,168,E,"I: sí<alargamiento/> sí /
","E: ¿sí?
","I: ese parque se le llama / si no me <vacilación/> acuerdo mal La Alde<alargamiento/>a o algo así <risas = ""E""/> / y ahí mucha / much <palabra_cortada/> La Coma<alargamiento/>rca La Comarca ya me acordé / a <alargamiento/>lgo así / entonces todos los vecinos de por aquí por la mayoría tiene perros <simultáneo> o </simultáneo> 
",0,1,1.0,1.0
19,¿sí?,6,GUAD_H23_004,México,Guadalajara,mujer,20,alto,190,E,"I: <simultáneo> no a ella sí </simultáneo> a ella sí le gustan mucho los gatos 
","E: ¿sí?
","I: sí <simultáneo> las mascotas  </simultáneo>
",0,1,1.0,1.0
20,¿sí?,6,GUAD_H23_004,México,Guadalajara,mujer,20,alto,261,E,"I: y la falta de experiencia también de andar tanto en carretera // pe<alargamiento/>ro / son las veces más más / medio peligrosas o cansadas // la <vacilación/> he vivido varias aventuras con mis hijas
","E: ¿sí? <risas = ""E""/>
","I: sí también 
",0,1,1.0,1.0
21,¿sí?,6,GUAD_H23_004,México,Guadalajara,mujer,20,alto,386,E,"I: <simultáneo> sí<alargamiento/> </simultáneo> sí sí 
","E: ¿sí?
","I: los apresaron / sí // pero fue como <sic> nomás </sic> como un <sic> tu </sic> puro intento de robo pues / no sé qué más les de les achacarían / 
",0,1,1.0,1.0
22,¿sí?,6,GUAD_H23_004,México,Guadalajara,mujer,20,alto,510,E,"I: cocina muy rico / de hecho / también / una de mis hijas cocina riquísimo / se llama G <observación_complementaria = ""el informante menciona el nombre de su hija""/> /
","E: ¿sí?
","I: tiene <énfasis> mu<alargamiento/>y mu<alargamiento/>y </énfasis> buen sazón / tanto para los postres como para la / para las comidas / pero en general yo prefiero que Edith cocine / 
",0,1,1.0,1.0
23,¿sí?,6,GUAD_H23_004,México,Guadalajara,mujer,20,alto,560,E,"I: tortas ahogadas 
","E: ¿sí?
","I: las tortas ahogadas / el pozo<alargamiento/>le / no sé / los ta<alargamiento/>cos // los tac <palabra_cortada/> / to<alargamiento/>do / todo es muy rico / de hecho fíjate que antes / yo me comía / dos tortas ahogadas / con una coca de a dos litros / 
",0,1,1.0,1.0
24,¿sí?,7,GUAD_H31_066,México,Guadalajara,mujer,22,medio,7,E,"I: bien / ahorita  <simultáneo> gracias  </simultáneo> a Dios
","E: <simultáneo> ¿sí? </simultáneo> / ¿cómo le ha / cómo le ha ido?
","I: bien
",1,1,1.0,1.0
25,¿sí?,7,GUAD_H31_066,México,Guadalajara,mujer,22,medio,23,E,"I: no<alargamiento/> en la mañana / nada más en la mañana
","E: ¿sí?
","I: a<vacilación/> anoche no tuve frío / por la mañana cuando salí // iba a salir sin chamarra y ya vi <vacilación/> vi que estaba haciendo frío y ya me la puse y ya un<alargamiento/> rato nada más
",0,1,1.0,1.0
26,¿sí?,8,GUAD_H32_048,México,Guadalajara,hombre,68,medio,102,I,"E: <simultáneo> mj </simultáneo>
","I: <simultáneo> o en el </simultáneo> / bueno / del / del artista se le hab <palabra_cortada/> se habla de una mancha / un esbozo // ¿sí? / que es una / pintura muy / aguada / es otro término / quiere decir / mucho aguarrás / nada de barniz / poco aceite // y<alargamiento/> se hace una especie de / cubrir el lienzo de / detallar ahí nomás un poco las formas y / todo esto / se deja secar / y luego se empieza a dar / colores ya a medio cuerpo / un poquito más pastosos / todavía sin<alargamiento/> / casi nada de barniz un poquito más de aceite menos aguarrás / colores a más cuerpo y empiezan / ya a detallar las formas a de colores y así / acercarte más al / a<alargamiento/>l resultado final / dejas secar / con un poquito de aceleradores / para no dañar / y ya en la tercera etapa / empiezas co<alargamiento/>n / eeh / lubricas o sea esto quiere decir eeh / humedeces un poco con un poco / con una mezcla que se le llama / bueno n<alargamiento/>o importa cómo se le llame / es una mezcla que / que lleva / un tercio de<alargamiento/> / de trementina un tercio de aceite y un tercio de barniz / puede ser barniz / indistinto puede ser varios / dependiendo de lo <sic> ques </sic> / quieras conseguir / y<alargamiento/> vas <sic> llanando <sic> los afines / el detalle / los de las veladuras el / todo esto / que pueden ser / dos tres o cuatro
","E: <simultáneo> ¿capas? </simultáneo>
",2,3,1.0,1.0
27,¿sí?,9,GUAD_H33_031,México,Guadalajara,mujer,20,alto,131,E,"I: mm me accidenté en carretera
","E: ah ¿sí? 
","I: sí
",3,1,1.0,1.0
28,¿sí?,9,GUAD_H33_031,México,Guadalajara,mujer,20,alto,159,E,"I: sin<alargamiento/> / sin comparación Guadalajara
","E: ¿sí?
","I: mj /
",0,1,1.0,1.0
29,¿sí?,9,GUAD_H33_031,México,Guadalajara,mujer,20,alto,301,E,"I: <simultáneo> yo </simultáneo> escuchaba de toda 
","E: <simultáneo> ¿sí? </simultáneo>
","I: <simultáneo> cuando </simultáneo> uno está en la secundaria / eeh / generalmente escuchas la música que escuchan los compañeros y en aquel tiempo había // mm unos grupos me gusta mucho el rock me gusta mucho / la música tropical me <sic> gusta mucho </sic> 
",0,1,1.0,1.0
30,¿sí?,9,GUAD_H33_031,México,Guadalajara,mujer,20,alto,367,E,"I: <simultáneo> sí sí </simultáneo> le gusta 
","E: ¿sí?
","I: sí le gusta mucho
",0,1,1.0,1.0
31,¿sí?,9,GUAD_H33_031,México,Guadalajara,mujer,20,alto,423,E,"I: sí /
","E: ¿sí? le gusta cocinar //
","I: sí / me relaja
",1,1,1.0,1.0
32,¿sí?,9,GUAD_H33_031,México,Guadalajara,mujer,20,alto,501,E,"I: igual 
","E: <simultáneo> ¿sí? </simultáneo>
","I: <simultáneo> este su<alargamiento/> </simultáneo> cumpleaños pues un pastel 
",0,1,1.0,1.0
33,¿sí?,10,GUAD_M11_052,México,Guadalajara,mujer,33,bajo,64,I,"E: ajá
","I: ¿sí? pero<alargamiento/> o sea como que se ha perdido más que nada // ese valor al <énfasis> Planeta </énfasis> vamos porque antes se / cuidábamos mucho los // las pla<alargamiento/>ntas // este<alargamiento/> me gustaba ir mucho<alargamiento/> / lo que era este a<alargamiento/> aquí al<alargamiento/> a las pilitas 
","E: ay sí / ¿aquí en la barranca?
",1,1,1.0,1.0
34,¿sí?,10,GUAD_M11_052,México,Guadalajara,mujer,33,bajo,270,I,"E: y ¿co <palabra_cortada/> cómo le hace<alargamiento/> / cómo le hace usted para // para trabajar con estas personas que son como más difíciles de carácter?
","I: <tiempo = ""20:03""/> igual tenemos que tener una postura<alargamiento/> este muy firme / o sea no podemos ponernos al tú por tú con las personas / o sea tenemos que guardar / como un <vacilación/> // por más que te digan<alargamiento/> / o sea tienes que guardar una distancia y decir <cita> una postura </cita> / o sea si él es grosero yo tengo que ser // calma<alargamiento/>da <risas = ""E""/> y aguantar // ¿sí? porque no nos podemos estar peleando con toda la gente 
","E: ajá
",2,1,1.0,1.0
35,¿sí?,10,GUAD_M11_052,México,Guadalajara,mujer,33,bajo,299,I,"E: ajá
","I: pero ni te dicen / ni / ni hacen // ¿sí? / pero<alargamiento/> pues yo siento que<alargamiento/> en unos cinco años // pienso yo / y es lo que yo deseo / que esto va a mejorar 
","E: y a lo mejor que sea más gente la que participa también 
",2,1,1.0,1.0
36,¿sí?,10,GUAD_M11_052,México,Guadalajara,mujer,33,bajo,380,I,"E: y y<alargamiento/> haya ganas / como decía de // de ayudar ¿no? 
","I: de ayu<palabra_cortada/> sí que no nada más lo vean por la<alargamiento/> / por la economía que ellos puedan recibir ¿sí? no no por su pago //
","E: ajá
",2,1,1.0,1.0
37,¿sí?,10,GUAD_M11_052,México,Guadalajara,mujer,33,bajo,418,I,"E: ajá
","I: sí es este / y que las mismas autoridades se dan cuenta / de lo que está pasando // y de<alargamiento/> dónde viven / y de todo / pero<alargamiento/> no sé por qué no actúan // créeme / yo me quedé <cita> bueno y por qué si saben // dónde están por qué no actúan </cita> ¿sí? // entonces sí es algo // muchas cosas que no alcanzamos a comprender 
","E: mj
",2,1,1.0,1.0
38,¿sí?,10,GUAD_M11_052,México,Guadalajara,mujer,33,bajo,454,I,"E: ajá
","I: <cita> la voy a invitar este al cine </cita> entonces la invita al cine pero a ella no le gustaba // y ella sabía que a él sí le gustaba // entonces dijo <cita> no ¿sabes? </cita> me dijo <cita> voy a llevar a alguien </cita> y pensó en mí / ¿sí? decía <cita> ¿cómo me voy a ir yo sola al cine con él si a mí no me interesa? </cita> entonces fue<alargamiento/> / y mi mamá nunca me dejaba salir a ningún lado // <cita> ándele señora <risas = ""E""/> yo se la voy a cuida<alargamiento/>r y mire y va a ir L. L. es este / hermano de<alargamiento/> de N. // de<alargamiento/> E. </cita> / se llama mi cuñada // <cita> ¿E. tiene hermanos? </cita> le dice mi mamá / porque mi mamá sí conocía ahora a la que es mi cuñada
","E: ajá
",2,1,1.0,1.0
39,¿sí?,10,GUAD_M11_052,México,Guadalajara,mujer,33,bajo,589,I,"E: ajá
","I: ¿sí? / o sea sí son tus amigos y cuatachos <cita> y vente / y vente todo <cita/> / pero ya cuando uno es adulto como que se demuestra la verdadera<alargamiento/> / amistad 
","E: ajá
",1,1,1.0,1.0
40,¿sí?,10,GUAD_M11_052,México,Guadalajara,mujer,24,alto,731,E,"I: sí 
","E: <simultáneo> ¿sí? </simultáneo>
","I: <simultáneo> de </simultáneo> hecho sí me gusta la lotería
",0,1,1.0,1.0
41,¿sí?,11,GUAD_M12_070,México,Guadalajara,mujer,22,medio,9,E,"I: <simultáneo>pues<alargamiento/><simultáneo><alargamiento/> sí
","E: ¿sí?
","I: realmente no // realmente no es algo que / que me moleste // de tú o de usted me da igual
",0,1,1.0,1.0
42,¿sí?,11,GUAD_M12_070,México,Guadalajara,mujer,22,medio,17,E,"I: sí
","E: <entre_risas> ¿sí? </entre_risas> 
","I: <risas = ""I""/> sí / el calor es súper estresante
",0,1,1.0,1.0
43,¿sí?,11,GUAD_M12_070,México,Guadalajara,mujer,22,medio,204,E,"I: no sé / no me acuerdo realmente / no te / sé decir eso / yo<alargamiento/> // no pero sí / sí les enseñó
","E: ¿sí?
","I: de hecho a las / dos mayores las enseñó a coser / ellas saben coser a máquina // se este / saben más cosas que nosotros / las más chicas / pero sí nos enseñó <risas = ""I""/> / sí nos enseñó // a ellas no sé cómo fue del proceso pero<alargamiento/> // pero sí las enseñó también
",0,1,1.0,1.0
44,¿sí?,12,GUAD_M13_005,México,Guadalajara,mujer,20,alto,281,E,"I: <simultáneo> se suicidó </simultáneo> 
","E: ¿sí? 
","I: un señor 
",0,1,1.0,1.0
45,¿sí?,12,GUAD_M13_005,México,Guadalajara,mujer,20,alto,321,E,"I: pero<alargamiento/> de lo que yo escuché y de lo <vacilación/> de otra clase / que<alargamiento/> / bueno por ejemplo en / en revolución tenemos un maestro que se llama el / se apellida A. / entonces él ya sé que es muy buen maestro <énfasis> ¡ah ya sé! </énfasis> Historia del arte <risas = ""E"" /> ya me acordé con N. / ella es / es de las mejores maestras que he tenido 
","E: ¿sí?
","I: <tiempo = ""26:03""/> sabe demasiado de arte sabe demasiado de / toda la vida <risas = ""I"" /> 
",0,1,1.0,1.0
46,¿sí?,13,GUAD_M21_062,México,Guadalajara,mujer,24,alto,6,E,"I: <risas = ''I''/> de tú / <simultáneo> <risas = ''I''/> </simultáneo>
","E: <simultáneo> ¿sí? // ah </simultáneo> muy bien
","E: porque<alargamiento/> / a veces es muy difícil <ruido = ''campana de carrito de nieve''> // este / a veces me cuesta trabajo / cuando conozco a alguien // nue<alargamiento/>vo este<alargamiento/> / o si es un vecino que no le trato mucho decirle / <cita> <énfasis> ah <énfasis/> pues<alargamiento/> hola ¿cómo está usted? </cita> o<alargamiento/> <cita> oye tú </cita> // por no sé muchas cuestiones / ¿no le parece eso? // que es a veces <simultáneo> difícil </simultáneo> </ruido_fondo>
",1,1,1.0,1.0
47,¿sí?,13,GUAD_M21_062,México,Guadalajara,mujer,24,alto,36,E,"I: sí<alargamiento/>
","E: ¿sí?
","I: <tiempo = ""01:58""/> sí le damos un respeto 
",0,1,1.0,1.0
48,¿sí?,13,GUAD_M21_062,México,Guadalajara,mujer,24,alto,43,E,"I: hay algunos hay <simultáneo> que ay sí</simultáneo>
","E: <simultáneo> ¿sí? </simultáneo> que n<alargamiento/>o <sic> los </sic> habla mucho 
","E: sí
",1,1,1.0,1.0
49,¿sí?,13,GUAD_M21_062,México,Guadalajara,mujer,44,bajo,67,I,"E: mjm
","I: porque / yo <vacilación/> yo no puedo barrer tanto / yo estoy enferma  </ruido_fondo> <simultáneo> ¿sí? </simultáneo>
","E: <simultáneo> sí / pues sí /aja </simultáneo>
",3,2,1.0,1.0
50,¿sí?,13,GUAD_M21_062,México,Guadalajara,mujer,24,alto,114,E,"I: <ruido_fondo> desde que pusieron el kínder
","E: ¿sí? / no pues sí // y ¿cómo les gusta más / antes / recién llegaron / o ahorita?
","E: <simultáneo> ajá </simultáneo>
",1,1,1.0,1.0
51,¿sí?,13,GUAD_M21_062,México,Guadalajara,mujer,24,alto,331,E,"E: si ¿verdad?
","E: ¿sí? / pero o sea <vacilación/> / ¿y se acuerda bien de<alargamiento/> de cuando fueron?
","E: ajá
",1,1,1.0,1.0
52,¿sí?,13,GUAD_M21_062,México,Guadalajara,mujer,24,alto,421,E,"I: sí  
","E: ¿sí? // y<alargamiento/> <simultáneo> no sé </simultáneo>
","I: <simultáneo> yo si </simultáneo> voy a otra parte 
",1,1,1.0,1.0
53,¿sí?,13,GUAD_M21_062,México,Guadalajara,mujer,24,alto,535,E,"I: <simultáneo> tú has hecho </simultáneo> // ellos sí uuuh
","E: ¿sí? 
","I: el día que a ella se la llevan  
",0,1,1.0,1.0
54,¿sí?,13,GUAD_M21_062,México,Guadalajara,mujer,24,alto,555,E,"I: <simultáneo> siempre me ha gustado mucho </simultáneo> 
","E: ¿sí? 
","I: tengo una mona que la arreglo y de hay la peino y le 
",0,1,1.0,1.0
55,¿sí?,13,GUAD_M21_062,México,Guadalajara,mujer,24,alto,581,E,"E: <simultáneo> ¡ah si! </simultáneo>
","E: ¿sí?  
","E: aah / pues sí // ahorita  
",0,1,1.0,1.0
56,¿sí?,13,GUAD_M21_062,México,Guadalajara,mujer,24,alto,624,E,"I: yo lo hice 
","E: ¿sí<alargamiento/>? las medidas / y todo ¿verdad?
","I: qué tiene<alargamiento/> dice mi hermano <cita> le hizo al tarugo  </cita> / <cita> hay / no me haga caso <cita> / le digo <risas = ''E''>
",1,1,1.0,1.0
57,¿sí?,13,GUAD_M21_062,México,Guadalajara,mujer,24,alto,697,E,"I: pues sí he visto un muchacho 
","E: ¿sí?
","I: sí<alargamiento/> / que le // cuando los atropellan // que tú <énfasis> ay </énfasis> 
",0,1,1.0,1.0
58,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,51,E,"I: no / yo ahora lo sentí más
","E: ¿sí? <ruido = ""chasquido de boca""/> ¡qué raro! / pero<alargamiento/> no sé<alargamiento/> <simultáneo> es esta cuestión del </simultáneo>
","I: <simultáneo> es </simultáneo>
",1,1,1.0,1.0
59,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,115,E,"I: ah sí
","E: ¿sí? ¿como qué / tipo de cosas? <simultáneo> ah que </simultáneo> 
","I: <simultáneo> ah </simultáneo> 
",1,1,1.0,1.0
60,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,207,E,"I: ajá / sí hay inseguridad
","E: ¿sí? / ay ¡qué cosas! <risas = “E”>  oke<alargamiento/>y  / yo no sabía eso / am // y después / o sea ¿la gente tiende a hablar mucho sobre eso? ¿sobre lo que pasa? ¿o lo deja así como <cita> aay sí<alargamiento/> el otro día mataron a fulanito <simultáneo> <énfasis> méndigo </énfasis> </simultáneo> <ruido = ""chasquido boca""/> / me deb <palabra_cortada/> me debía dinero </cita> <risas = “E”>
","I: <simultáneo> no </simultáneo> no no no <simultáneo> sí<alargamiento/> </simultáneo> 
",1,1,1.0,1.0
61,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,289,E,"I: // pues<alargamiento/> ya he tenido casos así
","E: ¿sí? 
","I: <tiempo = ""23:48""/> y es y es es / no sé si sea tanto estar de <vacilación/> tanto en la persona estar viviendo<alargamiento/> / el momento / de que<alargamiento/> / ta<alargamiento/>n // o estar am / o la persona que está ahí sufriendo // dicen que ya no siente pero sabrá Dios con tanto aparato tanto que le hacen tanto que los pican <observación_complementaria = ""falla del audio se escucha muy bajo""/> no sé // yo no sé si es peor el que está ahí o el que los está viendo // <observación_complementaria = ""falla del audio se escucha muy bajo""/>
",0,1,1.0,1.0
62,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,293,E,"I: // ¿físicamente? <observación_complementaria = ""falla del audio se escucha muy bajo""/> ay / pues yo lo veo bien <risas = “Todos”> / físicamente / pues / eh / en comparación de antes a ahorita pues sí son muchos cambios pues <observación_complementaria = ""falla del audio se escucha muy bajo""/> no de en balde son veinticinco años que he estado con él / pero<alargamiento/> tiene los ojos muy bonitos
","E: ¿sí?
","I: sí
",0,1,1.0,1.0
63,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,315,E,"I: sí
","E: ¿sí? 
","I: <simultáneo> así es</simultáneo>
",0,1,1.0,1.0
64,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,329,E,"I: mm no<alargamiento/> / eh / ella ella es otra perso<alargamiento/>na pero<alargamiento/> las de Facebook // ay no / eso son como mis hermanas
","E: ¿sí? 
","I: sí / ¿pues no te digo que convivimos desde niñas?
",0,1,1.0,1.0
65,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,333,E,"I: so<alargamiento/>n / no pos es que son igual / es que
","E: <simultáneo> ¿sí<alargamiento/>? </simultáneo> 
","I: <simultáneo> es que<alargamiento/> te digo </simultáneo> son / en sí en sí en sí / amigas amigas tengo tres
",0,1,1.0,1.0
66,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,361,E,"I: en todo era así
","E: ¿sí?
","I: sí 
",0,1,1.0,1.0
67,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,407,E,"I: pues no / sí me gusta / me gusta lo que hago
","E: ¿sí? ¿por qué? 
","I: pues / n<alargamiento/>o sé / oh / es que es el tiempo pues / más que nada <vacilación/> para mí es el tiempo porque ya se me ha dado la oportunidad de trabajar // en<alargamiento/> en casa / pero yo lo que quiero es <vacilación/> / tiempo para dedicarle a mi hijo <observación_complementaria = ""audio defectuoso""/>
",1,1,1.0,1.0
68,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,431,E,"I: <simultáneo> sí<alargamiento/> me lo llevo al parque </simultáneo>
","E: ¿sí? / ¿y qué juegan regularmente? ¿qué hacen?
","I: pues nos llevamos la pelota pero a últimas de cuentas estamos en los colu<alargamiento/>mpios / en el resbalade<alargamiento/>ro <risas = ""E""/> así <risas = ""todos""/> ey
",1,1,1.0,1.0
69,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,451,E,"I: <tiempo = ""37:35""/> mj
","E: ¿sí? y<alargamiento/> ¿por qué<alargamiento/>? <risas = ""E""/>
","I: po<alargamiento/>rque<alargamiento/> / como ¿de mi forma de vida? / ya te había dicho
",1,1,1.0,1.0
70,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,493,E,"I: <simultáneo> descansar </simultáneo> 
","E: ¿sí? // este<alargamiento/> // ¿haces alguna comida especial? / por todo esto de / cuare<alargamiento/>sma / y no sé qué rollo porque<alargamiento/> <simultáneo> no sé<alargamiento/> </simultáneo> 
","I: <simultáneo> cuando se puede </simultáneo> sí cuando no no <risas = “todos”/> 
",1,1,1.0,1.0
71,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,507,E,"I: preparamos 
","E: <simultáneo> ¿sí? </simultáneo>
","I: <simultáneo> o depende </simultáneo> de lo que tengamos ganas
",0,1,1.0,1.0
72,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,532,E,"I: / la práctica 
","E: ¿sí?
","I: sí / que le gu<alargamiento/>ste que le <simultáneo> na<alargamiento/>zca </simultáneo> 
",0,1,1.0,1.0
73,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,541,E,"I: <tiempo = ""43:37""/> mm ya ahorita no / antes sí 
","E: ¿sí? 
","I: sí
",0,1,1.0,1.0
74,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,547,E,"I: <simultáneo> sí </simultáneo>  
","E: ¿sí<alargamiento/>? ¿sí has ido?
","I: sí
",1,1,1.0,1.0
75,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,557,E,"I: ah / pues ya ahorita lo que pido <transcripción_dudosa> es ponerme a <transcripción_dudosa/> descansar 
","E: ¿sí?
","I: sí
",0,1,1.0,1.0
76,¿sí?,14,GUAD_M22_010,México,Guadalajara,mujer,20,alto,599,E,"I: sí 
","E: ¿sí? / y no te / dio miedo a que fuera a explota<alargamiento/>r o que se caye<alargamiento/>ra <simultáneo>  o algo </simultáneo> 
","I: <simultáneo> no<alargamiento/> </simultáneo> 
",1,1,1.0,1.0
